City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
505,Balabac,PH,83.28,overcast clouds,7.99,117.06,Sing and Swing Lodge
506,Japura,ID,75.34,overcast clouds,-0.32,102.35,Rumah mbah Jamah
508,Praia Da Vitoria,PT,77.0,scattered clouds,38.73,-27.07,Hotel Branco I
509,Humberto De Campos,BR,76.82,clear sky,-2.6,-43.46,Pousada do Cabeça
510,Ahtopol,BG,71.6,moderate rain,42.1,27.95,Agata Beach Hotel
511,Rabo De Peixe,PT,73.4,few clouds,37.8,-25.58,Quinta das Giestas
512,Champerico,GT,80.6,broken clouds,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
515,Eyl,SO,76.62,few clouds,7.98,49.82,Amiin Hotel
517,Aborlan,PH,83.07,scattered clouds,9.44,118.55,Kevina Transient House
518,Methoni,GR,78.01,clear sky,36.82,21.7,Methoni Beach Hotel
519,Kavieng,PG,83.48,overcast clouds,-2.57,150.8,Nusa Island Retreat
521,Pokhara,NP,70.88,light rain,28.23,83.98,Hotel View Point
522,Gohad,IN,80.76,broken clouds,26.43,78.44,Shree Dauji Nasta Center
524,Tulum,MX,86.0,broken clouds,20.22,-87.47,Kin Ha
525,Port Arthur,CN,77.0,clear sky,38.8,121.27,Friendship Hotel
526,Biak,ID,78.91,few clouds,-0.91,122.88,Kost Ariz
532,Mecca,SA,87.55,clear sky,21.43,39.83,Hotel Fairmont Makkah Clock Royal Tower
533,Tutoia,BR,79.66,clear sky,-2.76,-42.27,Pousada Guará's
536,Mehriz,IR,73.4,clear sky,31.59,54.43,Mehrgard dwelling/سرای مهرگرد
539,Majholi,IN,74.19,light rain,23.5,79.92,बजरग नगर जबलपुर
540,Lagoa,PT,74.03,clear sky,39.05,-27.98,Casa Das Faias
541,Ndioum,SN,87.82,light rain,16.51,-14.65,l'hôtel samassa
544,Carauari,BR,74.57,moderate rain,-4.88,-66.9,Pousada Lobo
547,Bogale,MM,78.12,broken clouds,16.28,95.4,Aung Pin Lel Guest House
548,Kununurra,AU,80.6,clear sky,-15.77,128.73,Hotel Kununurra
549,Takoradi,GH,74.25,broken clouds,4.88,-1.76,Raybow International Hotel
